Composer	Song	Lyrics	compound	neg	neu	pos	Label
L	My Mummy's Dead	My mummy's dead   I can't get it through my head   Though it's been so many years   My mummy's dead   I can't explain   So much pain   I could never show it   My mummy's dead	-0.9551	0.362	0.638	0.0	n
L	Isolation	People say we got it made   Don't they know we're so afraid?   Isolation   We're afraid to be alone   Everybody got to have a home   Isolation   Just a boy and a little girl   Trying to change the whole wide world   Isolation   The world is just a little town   Everybody trying to put us down   Isolation   I don't expect you to understand   After you've caused so much pain   But then again, you're not to blame   You're just a human, a victim of the insane   We're afraid of everyone   Afraid of the sun   Isolation   The sun will never disappear   But the world may not have many years   Isolation	-0.9522	0.202	0.761	0.037	n
L	Whatever Get You Through The Night	One, two, three, four   All right, all right   Whatever gets you through the night   It's all right, all right   It's your money or your life   It's all right, all right   Don't need a sword to cut through flowers   Oh no, oh no   Whatever gets you through your life   It's all right, all right   Doin' wrong, doin' wrong, do it right   It's all right, all right   Don't need a watch to waste your time   Oh no, oh no   Listen, listen   Hold me, darlin', come on, listen to me   I won't do you no harm   Trust me, darlin', come on, listen to me   Come on, listen to me, listen, listen, listen   All right   Whatever gets you to the light   It's all right, it's all right   Out the blue or out of sight   It's all right, all right   Don't need a gun to blow your mind   Oh no, no no, no no   Listen   Hold me, darlin', come on, listen to me   I won't do you no harm   Trust me, darlin', come on, listen to me   Come on, listen to me, listen to me, listen to me   All right   Do it right, do it right, do it right, do it right   Doin' it right, doin' it right   Stop   Incomprehensible	-0.9151	0.112	0.838	0.051	n
L	Since My Baby Left Me	Okay! Okay! This is it, children!   Hey, hey, hey, hey - hey!   That's nice!   The story 'bout all of us   Not one missing   She leaves you   Ain't got no sweet, no, no, no   Yeah!   Since my baby left me Since my baby left me   Never said a word Never said a word   Was it something I done Was it something I done   Something that she heard? Something that she heard?   You know, she left me Yes, she left me   Yes, she left me Yes, she left me   My baby even left me, never said a word   Tra la la Tra la la   Tra la la Tra la la   Now I stand at my window Now I stand at my window   Wring my hand and cry Wring my hand and cry   I hate to lose that woman I hate to lose that woman   Hate to say goodbye Hate to say goodbye   You know, she left me Yes, she left me   Yes, she left me Yes, she left me   My baby even left me, never said goodbye   Never said goodbye!   Da da da Da da da   Da da da Da da da   Da da da Da da da   Da da da Da da da   One of these mornings One of these mornings   Lord, it won't be long Lord, it won't belong   You look for me and, baby You look for me, baby   And daddy will be gone Daddy will be gone   You know, she left me Yes, she left me   Yes, she left me Yes, she left me   My baby even left me, never said a word   Not a word!   Da da da Da da da   Da da da Da da da   Da da da Da da da   Da da da Da da da   Oh, so sad   So sad   So, so sad   So, so, so sad	-0.8815	0.126	0.76	0.114	n
L	Aisumasen I'm Sorry	When I'm down, really yin   And I don't know what I'm doing   Aisumasen, aisumasen Yoko   All I had to do was call your name   All I had to do was call your name   And when I hurt you and cause you pain   Darlin' I promise I won't do it again   Aisumasen, aisumasen Yoko   It's hard enough I know just to feel your own pain   It's hard enough I know to feel, feel your own pain   All that I know is just what you tell me   All that I know is just what you show me   When I'm down, real sanpaku   And I don't know what to do   Aisumasen, aisumasen Yoko san   All I had to do was call your name   Yes, all I had to do was call your name	-0.8779	0.113	0.853	0.035	n
L	Walking On Thin Ice	Walking on thin ice,   I'm paying the price   For throwing the dice in the air.   Why must we learn it the hard way   And play the game of life with your heart?   I gave you my knife,   You gave me my life   Like a gush of wind in my hair.   Why do we forget what's been said   And play the game of life with our hearts?   I may cry some day,   But the tears will dry whichever way.   And when our hearts return to ashes,   It'll be just a story,   It'll be just a story.   I knew a girl who tried to walk across the lake,   Course it was winter when all this was ice.   That's a hell of a thing to do, you know.   They say the lake is as big as the ocean.   I wonder if she knew about it?	-0.8702	0.091	0.875	0.034	n
L	Gimme Some Truth	I'm sick and tired of hearing things   From uptight, short-sighted, narrow-minded hypocritics   All I want is the truth   Just gimme some truth   I've had enough of reading things   By neurotic, psychotic, pig-headed politicians   All I want is the truth   Just gimme some truth   No short-haired, yellow-bellied, son of Tricky Dick   Is gonna Mother Hubbard soft soap me   For just a pocketful of hope   Money for dope   Money for rope   Woo hoo   No short-haired, yellow-bellied, son of Tricky Dick   Is gonna Mother Hubbard soft soap me   With just a pocketful of soap   Money for dope   Money for rope   I'm sick to death of seeing things   From tight-lipped, condescending, mama's little chauvinists   All I want is the truth,   Just gimme some truth, now   I've had enough of watching scenes   With schizophrenic, ego-centric, paranoiac prima-donnas   All I want is the truth now, now   Just gimme some truth   No short-haired, yellow-bellied, son of Tricky Dick   Is gonna Mother Hubbard soft soap me   With just a pocketful of soap   It's money for dope   Money for rope   Ah, I'm sick to death of peering things   From uptight, short-sighted, narrow-minded hypocrites   All I want is the truth, now   Just gimme some truth, now   I've had enough of reading things   By neurotic, psychotic, pig-headed politicians   All I want is the truth, now   Just gimme some truth, now   All I want is the truth, now   Just gimme some truth, now   All I want is the truth   Just gimme some truth   All I want is the truth   Just gimme some truth	-0.8591	0.184	0.63	0.186	n
L	Stranger's Room	"- ""At this time... I just like to sing.""   Here in this lonely room   Late in the afternoon   Dreaming my life away-hey   Don't answer the telephone   I'm not home receiving you   Here in the afternoon   Alone in some stranger's room   What am I doing here at all?   No need to over do it   I'm bleeding now   I'm bleeding now   Stop the bleeding now   Stop the bleeding now   Oozing out   Dripping down   Table's silent shout   Aghhh!   Scat sing and whistle   Stop the bleeding now"	-0.8579	0.151	0.822	0.027	n
L	Crippled Inside	You can shine your shoes and wear a suit   You can comb your hair and look quite cute   You can hide your face behind a smile   One thing you can't hide   Is when you're crippled inside   You can wear a mask and paint your face   You can call yourself the human race   You can wear a collar and a tie   One thing you can't hide   Is when you're crippled inside   Well now, you know that your cat has nine lives, babe   Nine lives to itself   But you only got one   And a dog's life ain't fun   Mama, take a look outside   You can go to church and sing a hymn   You can judge me by the colour of my skin   You can live a lie until you die   One thing you can't hide   Is when you're crippled inside   Well now, you know that your cat has nine lives, babe   Nine lives to itself   But you only got one   And a dog's life ain't fun   Mama, take a look outside   You can go to church and sing a hymn   Judge me by the colour of my skin   You can live a lie until you die   One thing you can't hide   Is when you're crippled inside   One thing you can't hide   Is when you're crippled inside   One thing you can't hide   Is when you're crippled inside	-0.8567	0.078	0.85	0.072	n
L	Ain't She Sweet	"Ain't she sweet?   Oh no, ain't she no, hang on, injection   Oh me oh mum ain't that perfection?   I repeat now!   Ain't she nice?   Well, look her over once or twice   Well, I ask you very confidentially   Ain't she nice   Scat sing   ""Ha ha ha""   ""Shall we record that, John?"""	-0.8275	0.218	0.708	0.074	n
M	Don't Let The Sun Catch You Crying	Don't let the sun catch you cryin',   Cryin' on my front door,   You done daddy dirty now   And honey he ain't gonna love you no more.   And don't let the sun catch you cryin',   Cryin' on my front door,   You done daddy dirty now   And honey he ain't gonna love you no more.   Well you can cry, cry, cry, cry   Oh now baby, you can wail.   Yo can bang your little head on the pavement   Till the man comes and throws you in jail.   Cryin' on my front door,   You done daddy dirty now   Yeah and honey he ain't gonna love you no more.   Well you can cry, cry, cry, cry   Oh now baby, baby you can wail.   You can bang your hear on that hard hard pavement   Till the man comes and throws you in jail.   Cryin' on my front door,   You done daddy dirty now   And honey he ain't gonna love you no more.   Yeah, you know you done him dirty now,   You know you done him dirty,   And I just can't love you no more.	-0.9966	0.336	0.646	0.018	n
M	Live And Let Die	When you were young and your heart was an open book,   You used to say live and let live   You know you did, you know you did, you know you did   But if this ever-changing world in which we're livin'   Makes you give in and cry,   Say live and let die   Live and let die   Live and let die   Live and let die   What does it matter to you?   When you got a job to do   You got to do it well   You got to give the other fellow hell   You used to say live and let live   You know you did, you know you did, you know you did   But if this ever-changing world in which we're livin'   Makes you give in and cry,   Say live and let die   Live and let die   Live and let die   Live and let die	-0.9963	0.302	0.678	0.02	n
M	It's Not True	Some People say she's a bad girl   Some people think she's a fool   Some people tell me she's no good   But I'm telling you   It's not true, it's not true, it's not true   They say that my girl's a mad girl   No saying what she might do   Some people tell me she's crazy.   But I'm telling you   It's not true, it's not true, it's not true   Ooh... Ooh... Ooh... They've been talking to the fella's   Ooh... Ooh... Ooh... Have they never heard of jealousy?   Ooh... Ooh... Ooh... If she helps me write the melody   I'll let the words take care of themselves.   It's not true, it's not true, it's not true   It's not true, it's not true, it's not true   Ooh... Ooh... Ooh... They've been talking to the fella's   Ooh... Ooh... Ooh... Have they never heard of jealousy?   Ooh... Ooh... Ooh... If she helps me write the memories   I'll let the words take care of themselves.   Some people say she's a loser   Some people tell me that she's through   Some people say I don't love her   But I'm telling you   It's not true, it's not true, it's not true   What they're saying about her isn't true   Don't you know it isn't true?   It's not true...	-0.9952	0.292	0.634	0.074	n
M	Lonesome Town	There's a place where lovers go   To cry their troubles away   And we call it Lonesome Town   Where the broken hearts stay   You can buy a dream or two   To last you all through the years   And the only price you pay   Is heart full of tears   Going down to Lonesome Town, where the broken hearts stay   I'm going down to Lonesome Town, to cry my troubles away   And in the town of broken dreams   The streets are filled with regret   Maybe down in Lonesome Town   Well I can learn to forget   Going down to Lonesome Town, where the lonely hearts stay   I'm going down to Lonesome Town, to cry, to cry my troubles away   And in the town of broken dreams   The streets are filled with regret   Maybe down in Lonesome Town   I can learn to forget   Maybe down in Lonesome Town   I can learn to forget	-0.9943	0.355	0.581	0.065	n
M	Another Day	Every day she takes a morning bath, she wets her hair   Wraps a towel around her as she's heading for the bedroom chair   It's just another day   Slipping into stockings   Stepping into shoes   Dipping in the pocket of her raincoat   It's just another day   At the office where the papers grow she takes a break   Drinks another coffee and she finds it hard to stay awake   It's just another day   It's just another day   It's just another day   So sad, so sad   Sometimes she feels so sad   Alone in apartment she'd dwell   Till the man of her dreams comes to break the spell   Ah, stay, don't stand her up   And he comes and he stays   But he leaves the next day, so sad   Sometimes she feels so sad   As she posts another letter to the sound of five   People gather 'round her and she finds it hard to stay alive   It's just another day   It's just another day   It's just another day   So sad, so sad   Sometimes she feels so sad   Alone in apartment she'd dwell   Till the man of her dreams comes to break the spell   Ah, stay, don't stand her up   And he comes and he stays   But he leaves the next day, so sad   Sometimes she feels so sad   Every day she takes a morning bath, she wets her hair   Wraps a towel around her as she's heading for the bedroom chair   It's just another day   Slipping into stockings   Stepping into shoes   Dipping in the pocket of her raincoat   Oh-oh-oh, it's just another day   It's just another day   It's just another day	-0.9932	0.173	0.789	0.038	n
M	Tug Of War	It's a tug of war   What with one thing and another   It's a tug of war   We expected more   But with one thing and another   We were trying to outdo each other   In the tug of war   In another world   In another world we could stand on top of the mountain   With our flag unfurled   In a time to come   In a time to come we will be dancing to the beat   Played on a different drum   It's a tug of war   Though I know I mustn't grumble   It's a tug of war   But I can't let go   If I do, you'll take a tumble   And the whole thing is going to crumble   It's a tug of war   Pushing, pushing, pulling puliing   Pushing, pulling   In years to come they may discover   What the air we breathe and the life we lead   Are all about   But it won't be soon enough   it won't be soon enough for me   Soon enough for me   No it won't be soon enough   it won't be soon enough for me   Soon enough for me   In another world we could stand on top of the mountain   With our flag unfurled   In a time to come we will be dancing to the beat   Played on a different drum   We will be dancing to the beat   Played on a different drum   We will be dancing to the beat   Played on a different drum   It's a tug of war   A tug of war, a tug of war   What with one thing and another   It's a tug of war   We expected more   But with one thing and another   We were trying to outscore each other   In a tug of war   Pushing, pushing, pulling puliing   Pushing, pulling	-0.9932	0.164	0.786	0.049	n
M	Lonely Road	I tried to get over you   I tried to find something new   But all I could ever do   Was fill my time   With thoughts of you   I tried to go somewhere old   To search for my pot of gold   But all I could ever hold   Inside my mind   Were thoughts of you   I hear your music and it's driving me wild   Familiar rhythms in a different style   I hear your music and it's driving me wild again   Don't want to let you take me down   Don't want to get hurt second time around   Don't want to walk that lonely road again   I hear your music and it's driving me wild   Familiar rhythms in a different style   I hear your music and it's driving me wild again   Don't want to let you take me down   Don't want to get hurt second time around   Don't want to walk that lonely road again   Don't want to let you take me down   Don't want to get hurt second time around   Don't want to walk that lonely road again   I don't want to walk that lonely road   Don't want to walk that lonely road   I don't wanna, I don't wanna   I don't want to walk that lonely road   I don't want to walk that lonely road again   No no no no   I don't want to walk that lonely road   No no	-0.9907	0.221	0.744	0.035	n
M	Suicide	Girls it's been my pleasure   To know quite a lot of you.   And in the main   You're pretty sane, it's true.   But there are a few who do to   Doo ti doo too beautiful a job.   It isn't quite what they planned   When the man gets the upper hand.   He's takin' her for a ride.   I'd call it suicide.   If when she tries to run away   And he calls her back, she comes.   If there's a next time, he's okay   'Cause she's under both his thumbs.   She limps along to his side   Singing a song of ruin. I'd   Bet he says nothin' doin'.   I-I-I-I I'd call it suicide.   She loves to ride in big parades.   But he wouldn't so she won't.   She needs at least a dozen maids.   But if he says no she don't.   He wishes she knew his side.   Soon there'll be trouble brewin' I'd   Bet he says nothin' doin'   I-I-I-I I'd call it suicide.   Suicide, she's committin' it   Suicide, he's not gettin' it   Suicide, it's a quittin' a day.   She limps along to his side   Singing a song of ruin. I'd   Bet he says nothin' doin'.   I-I-I-I I'd call it suicide.	-0.9887	0.216	0.678	0.106	n
M	Used To Be Bad	I used to be bad   But I don't have to be bad no more   Yeah, I used to be bad   But I don't have to be bad no more   Well ain't no doubt about it, people   It's something you can't ignore   Well, I ain't good looking   People, you know I've been up on a shelf   Yes, I know I ain't good looking   And I've been put up on the shelf   But I got a sweet disposition   I like to enjoy myself   I used to be bad   But I don't have to be bad no more   Yeah, I used to be bad   But I don't have to be bad no more   You know I learned my lesson   A long, long time ago   Well, no matter what you say   No matter what you do   You've got one life to live   It's gonna come back home to you   I used to be bad   But I don't have to be bad no more   Yeah, people, I learned my lesson   A long, long time ago   The good lord made this world   And everything that's in it   The way I see it, baby   You got to love it to the limit   Oh yes, now people   It's something you can't ignore   Yes I used to be bad   But I ain't gonna be bad no more   Well, the way you treat me darling   Made me understand   Never quit you baby   I'm gonna love you to the end.   Yeah, I used to be bad   But I ain't gonna be bad no more   Yes, I learned my lesson   A long, long time ago   Yes, I learned my lesson   A long, long time ago   Yes, I learned my lesson   You're gonna reap just what you sow	-0.9874	0.26	0.57	0.17	n
M	Eleanor Rigby/Eleanor's Dream	Ah, look at all the lonely people   Ah, look at all the lonely people   Eleanor Rigby picks up the rice in the church where a wedding was been,   Lives in a dream.   Waits at the window, wearing the face that she keeps in a jar by the door,   Who is it for?   All the lonely people, where do they all come from?   All the lonely people, where do they all belong?   Father McKenzie, writing the words to a sermon that no one will hear,   No one comes near.   Look at him working, darning his socks in the night when there's nobody there.   What does he care?   All the lonely people, where do they all come from?   All the lonely people, where do they all belong?   Ah, look at all the lonely people   Ah, look at all the lonely people.   Eleanor Rigby died in church and was buried along with her name;   Nobody came.   Father McKenzie, wiping the dirt from his hands as he walks from the grave;   No one was saved.   All the lonely people, where do they all come from?   Ah, look at all the lonely people   All the lonely people, where do they all belong?   Ah, look at all the lonely people	-0.9863	0.195	0.772	0.034	n
M	I Can't Imagine	For me to say what I'm about to say?   Could take a bit of courage?   But I can summon up enough of this and maybe more?   Without your love I know I'd find it difficult   No reason to continue?   So how can anyone live not knowing what love is   I can't imagine how it feels to never been in love like this before   I don't wanna think about it anyhow   I can't imagine how it feels to never been in love like this before   We don't have to talk about it   No, not now   Need a lie, when I don't have to lie?   It get me into trouble?   And I've been keepin' out of trouble for a long time now?   So this is true, it's me for you eternity?   Can go and last forever?   But while we're taking our time?   I pity those that love left behind??   I can't imagine how it feels to never been in love like this before?   I don't wanna think about it anyhow, anyhow?   I can't imagine how it feels to never been in love like this before?   We don't have to talk about it   Oh, not now?   Talk about it now?   I can't imagine how it feels to never been in love like this before?   I don't wanna think about it, think about it anyhow?   I can't imagine how it feels to never been in love like this before   I don't have to talk about it no, not now??   I can't imagine how it feels to never been in love like this before?   I don't wanna think about it think about it anyhow?   I can't imagine how it feels to never been in love like this before   We don't have to talk about it   No, not now   I don't wanna talk about it, no, not now.	-0.9832	0.167	0.732	0.101	n
M	Tommy's Coming Home	Mccartney/macmanus   She was counting out the window of the outbound train   All the poles of the telegraph   And the rock-a-bye rhythm in the song of the rails   Couldn't make the sweeper laugh   Down down down so deep   Down down drowning in his sleep   Tommy's coming home again   And a hawk hovered high above a skinny jackrabbit   Pursued by a hungry fox   And a broker awoke her from a fitful slumber   Then consulted his shares and his stocks   Down down down they go   Down down how he'll never know   Tommy's coming home again   And it's almost April fools' day   As he glanced on his paper looking through the veil ?   He could see she was really upset   As she tucked back the ribbon in a velvet box   As he offered her a cigarette   Down down down she took a drag   Now he's covered in a flag   Tommy's coming home again   And it's almost April fools' day   Almost April fools' day   And the joke's on everyone   He had that premonition   Only dead men dwell upon   But how could he know that only twelve months later   She would wear her skirt up over her knee   And in the very same carriage she'd be flattened with roses   And forget the tears of bigotry ?   Down down down they flow   Now now now it just don't matter anymore   Tommy made it home again   When it was almost April fools' day   Almost April fools' day   And the joke's on everyone   He had that premonition   Only dead men dwell upon   Tommy's coming home again   Tommy's coming home again   Tommy's coming home	-0.9748	0.111	0.865	0.024	n
M	Mrs Vandebilt	Down in the jungle living in a tent   You don't use money you don't pay rent   You don't ever know the time   But you don't mind   Ho hey ho...   When your light is on the blink   You never think of worrying   What's the use of worrying?   When your bus has left the stop   You'd better drop your hurrying   What's the use of hurrying?   Leave me alone mrs vandebilt   I've got plenty of time of my own   What's the use of worrying?   What's the use of hurrying?   What's the use of anything?   Ho hey ho...   What's the use of worrying?   What's the use of hurrying?   What's the use of anything?   Ho hey ho...   When your pile is one the wane   You don't complain of robbery   Run away don't bother me   What's the use of worrying?   What's the use of anything?   Leave me alone mrs washington   I've done plenty of time on my own   What's the use of worrying?   What's the use of hurrying? no use!   What's the use of anything?   Ho hey ho...	-0.9573	0.163	0.774	0.064	n
