Album	Year	Song	Main composer	L	M	H	S	NumAuth	OtherAuth	Singer	Lyrics	compound	neg	neu	pos	Label
With The Beatles	1963	Not a Second Time	Lennon	1	0	0	0	1	0	Lennon	  You know you made me cry I see no use in wondering why I cry for you    And now you've changed your mind I see no reason to change mine I cry it's through, oh    You're giving me the same old line I'm wondering why You hurt me then You're back again No, no, no, not a second time       You know you made me cry I see no use in wondering why I cry for you    And now you've changed your mind I see no reason to change mine I cry it's through, oh    You're giving me the same old line I'm wondering why You hurt me then You're back again No, no, no, not a second time    Not a second time Not a second time No no no no no Not a second time	-0.9714	0.209	0.715	0.076	n
A Hard Day's Night	1964	Can't Buy Me Love	McCartney	0	1	0	0	1	0	McCartney	  Can't buy me love, love Can't buy me love    I'll buy you a diamond ring, my friend If it makes you feel alright I'll get you anything, my friend If it makes you feel alright 'Cause I don't care too much for money Money can't buy me love    I'll give you all I've got to give If you say you love me too I may not have a lot to give But what I got I'll give to you I don't care too much for money Money can't buy me love    Can't buy me love, everybody tells me so Can't buy me love, no-no-no, no!    Say you don't need no diamond rings And I'll be satisfied Tell me that you want the kind of things That money just can't buy I don't care too much for money Money can't buy me love Ow!       Buy me love, everybody tells me so Can't buy me love, no-no-no, no!    Say you don't need no diamond rings And I'll be satisfied Tell me that you want the kind of things That money just can't buy I don't care too much for money Money can't buy me love    Can't buy me love, love Can't buy me love	-0.9708	0.209	0.641	0.15	n
Sgt. Pepper's Lonely Hearts Club Band	1967	Sgt. Pepper's Lonely Hearts Club Band (Reprise)	McCartney	0	1	0	0	1	0	Lennon/McCartney/ 	  (1,2,3,4) (Bye!)    We're Sgt. Pepper's Lonely Hearts Club Band We hope you have enjoyed the show Sgt. Pepper's Lonely Hearts Club Band We're sorry but it's time to go Sgt. Pepper's lonely, Sgt. Pepper's lonely Sgt. Pepper's lonely, Sgt. Pepper's lonely    Sgt. Pepper's Lonely Hearts Club Band We'd like to thank you once again Sgt. Pepper's one and only Lonely Hearts Club Band It's getting very near the end Sgt. Pepper's lonely, Sgt. Pepper's lonely Sgt. Pepper's Lonely Hearts Club Band	-0.9705	0.311	0.592	0.097	n
Magical Mystery Tour	1967	I Am the Walrus	Lennon	1	0	0	0	1	0	Lennon	  I am he as you are he as you are me and we are all together See how they run like pigs from a gun, see how they fly I'm crying    Sitting on a cornflake, waiting for the van to come Corporation tee-shirt, stupid bloody Tuesday Man, you've been a naughty boy, you let your face grow long    I am the egg man, they are the egg men I am the walrus, goo goo goo joob    Mister City policeman sitting Pretty little policemen in a row See how they fly like Lucy in the sky, see how they run I'm crying, I'm crying I'm crying, I'm crying    Yellow matter custard Dripping from a dead dog's eye Crabalocker fishwife, pornographic priestess Boy, you've been a naughty girl, you let your knickers down    I am the egg man, they are the egg men I am the walrus, goo goo goo joob    Sitting in an English garden waiting for the sun If the sun don't come, you get a tan From standing in the English rain    I am the egg man (now good sir, what are you?) They are the egg men (a poor man, made tame to fortune's blows) I am the walrus, goo goo goo joob (good pity) G-goo goo goo joob    Expert, textpert, choking smokers Don't you think the joker laughs at you? (ho ho ho, hee hee hee, ha ha ha) See how they smile like pigs in a sty See how they snide I'm crying    Semolina pilchard Climbing up the Eiffel Tower Elementary penguin singing Hare Krishna Man, you should have seen them kicking Edgar Allan Poe    I am the egg man, they are the egg men I am the walrus, goo goo goo joob g-goo goo goo joob Goo goo goo joob g-goo goo goo joob, goo goo Joob Joob Joob    Umpa, umpa, stick it up your jumper Everybody's got one, everybody's got one “Villain, take my Purse. If ever thou wilt thrive, bury my Body And give the Letters which thou findst about me To Edmund Earl of Gloucester: seek him out upon the English Party. Oh, untimely death, death–” “I know thee well, a serviceable Villain; as duteous to the Vices of thy Mistress as badness would desire.” “What, is he dead?” “Sit you down, Father; rest you.”	-0.9555	0.11	0.811	0.079	n
Sgt. Pepper's Lonely Hearts Club Band	1967	Fixing a Hole	McCartney	0	1	0	0	1	0	McCartney	  I'm fixing a hole where the rain gets in And stops my mind from wandering Where it will go    I'm filling the cracks that ran through the door And kept my mind from wandering Where it will go    And it really doesn't matter if I'm wrong, I'm right Where I belong, I'm right Where I belong See the people standing there who disagree and never win And wonder why they don't get in my door    I'm painting the room in a colorful way And when my mind is wandering There I will go Ooh, ooh, ooh, ah, ah Hey, hey, hey, hey       And it really doesn't matter if I'm wrong, I'm right Where I belong, I'm right Where I belong Silly people run around, they worry me And never ask me why they don't get past my door    I'm taking the time for a number of things That weren't important yesterday And I still go Ooh, ooh, ooh, ah, ah    I'm fixing a hole where the rain gets in And stops my mind from wandering Where it will go Where it will go I'm fixing a hole where the rain gets in And stops my mind from wandering Where it will go	-0.955	0.111	0.878	0.011	n
The Beatles	1968	Blackbird	McCartney	0	1	0	0	1	0	McCartney	  Blackbird singing in the dead of night Take these broken wings and learn to fly All your life You were only waiting for this moment to arise    Blackbird singing in the dead of night Take these sunken eyes and learn to see All your life You were only waiting for this moment to be free    Blackbird fly, blackbird fly Into the light of the dark black night       Blackbird fly, blackbird fly Into the light of the dark black night    Blackbird singing in the dead of night Take these broken wings and learn to fly All your life You were only waiting for this moment to arise    You were only waiting for this moment to arise You were only waiting for this moment to arise	-0.9501	0.136	0.84	0.024	n
Let It Be	1970	One After 909	Lennon	1	0	0	0	1	0	Lennon/McCartney	"  My baby said she's travelling on the one after 909 I said move over honey I'm travelling on that line I said move over once, move over twice Come on baby don't be cold as ice Said she's travelling on the one after 909    I begged her not to go and I begged her on my bended knees You're only fooling 'round, only fooling 'round with me I said move over once, move over twice Come on, baby, don't be cold as ice Said she's travelling on the one after 909    Pick up my bag, run to the station Railman said ""you've got the wrong location"" Pick up my bag, run right home Then I find I've got the number wrong    Well, she said she's travelling on the one after 909 I said move over honey I'm travelling on that line I said move over once, move over twice Come on, baby, don't be cold as ice She said she's travelling on the one after 909    Pick up my bag, run to the station Railman says you've got the wrong location Pick up my bag, run right home Then I find I've got the number wrong    Well, she said she's travelling on the one after 909 I said move over honey I'm travelling on that line I said move over once, move over twice Come on baby don't be cold as ice Said she's travelling on the one after 9-0 Said she's travelling on the one after 9-0 Said she's travelling on the one after 909    Oh, Danny boy, the altar men are calling"	-0.9186	0.064	0.912	0.024	n
Magical Mystery Tour	1967	The Fool on the Hill	McCartney	0	1	0	0	1	0	McCartney	  Day after day, alone on a hill The man with the foolish grin is keeping perfectly still But nobody wants to know him, they can see that he's just a fool And he never gives an answer    But the fool on the hill sees the sun going down And the eyes in his head see the world spinning around    Well on the way, head in a cloud The man of a thousand voices talking perfectly loud But nobody ever hears him or the sound he appears to make And he never seems to notice    But the fool on the hill sees the sun going down And the eyes in his head see the world spinning around       And nobody seems to like him, they can tell what he wants to do And he never shows his feelings    But the fool on the hill sees the sun going down And the eyes in his head see the world spinning around    Oh, oh, oh, oh, oh, oh, oh Round and round and round and round and round    And he never listens to them, he knows that they're the fools They don't like him    The fool on the hill sees the sun going down And the eyes in his head see the world spinning around    Oh (Round and round and round) Oh	-0.9172	0.117	0.817	0.066	n
Revolver	1966	She Said She Said	Lennon	1	0	0	0	1	0	Lennon	"  She said, ""I know what it's like to be dead I know what it is to be sad"" And she's making me feel like I've never been born    I said, ""who put all those things in your head? Things that make me feel that I'm mad And you're making me feel like I've never been born""    She said, ""you don't understand what I've said"" I said, ""no, no, no, you're wrong"" When I was a boy everything was right Everything was right    I said, ""even though you know what you know I know that I'm ready to leave 'Cause you're making me feel like I've never been born""    She said, ""you don't understand what I said"" I said, ""no, no, no, you're wrong"" When I was a boy everything was right Everything was right    I said, ""even though you know what you know I know that I'm ready to leave 'Cause you're making me feel like I've never been born""    She said, ""I know what it's like to be dead I know what it is to be sad I know what it's like to be dead"""	-0.886	0.14	0.758	0.102	n
Rubber Soul	1965	You Won't See Me	McCartney	0	1	0	0	1	0	McCartney	  When I call you up, your line's engaged I have heard enough, so act your age We have lost the time that was so hard to find And I will lose my mind    If you won't see me (you won't see me) You won't see me (you won't see me)    I don't know why you should want to hide But I can't get through, my hands are tied I won't want to stay, I don't have much to say But I get turned away    And you won't see me (you won't see me) You won't see me (you won't see me)    Time after time You refuse to even listen I wouldn't mind If I knew what I was missing    Though the days are few, they're filled with tears And since I lost you, it feels like years Yes, it seems so long, girl, since you've been gone And I just can't go on    If you won't see me (you won't see me) You won't see me (you won't see me)    Time after time You refuse to even listen I wouldn't mind If I knew what I was missing    Though the days are few, they're filled with tears And since I lost you, it feels like years Yes, it seems so long, girl, since you've been gone And I just can't go on    If you won't see me (you won't see me) You won't see me (you won't see me)    Ooooh oh la la-la Ooooh oh la la-la	-0.8323	0.107	0.832	0.061	n
Let It Be	1970	Dig a Ponny	Lennon	1	0	0	0	1	0	Lennon	  I dig a pony Well, you can celebrate anything you want Yes, you can celebrate anything you want Oh! I do a road hog Well, you can penetrate any place you go Yes, you can penetrate any place you go    I told you so, all I want is you Everything has got to be just like you want it to Because    I pick a moon dog Well, you can radiate everything you are Yes, you can radiate everything you are Oh, now I roll a stoney Well, you can imitate everyone you know Yes, you can imitate everyone you know    I told you so, all I want is you Everything has got to be just like you want it to Because    Ooh, now I feel the wind blow Well, you can indicate everything you see Yes, you can indicate everything you see Oh now I load a lorry Well, you can syndicate any boat you row Yeah, you can syndicate any boat you row    I told you so, all I want is you Everything has got to be just like you want it to Because	0.9911	0.0	0.748	0.252	p
A Hard Day's Night	1964	You Can't Do That	Lennon	1	0	0	0	1	0	Lennon	  I’ve got something to say that might cause you pain If I catch you talking to that boy again I’m going to let you down And leave you flat Because I told you before Oh, you can’t do that    Well, it’s the second time I’ve caught you talking to him Do I have to tell you one more time, I think it’s a sin I think I'll let you down (Let you down) And leave you flat (Going to let you down and leave you flat) Because I told you before Oh, you can’t do that    Everybody's green 'Cause I'm the one who won your love But if they'd seen You talking that way They'd laugh in my face    So please listen to me if you want to stay mine I can’t help my feelings, I go out of my mind I'm going to let you down (Let you down) And leave you flat (Going to let you down and leave you flat) Because I told you before Oh, you can’t do that!    (You can't do that) (You can't do that) (You can't do that) (You can't do that) (You can't do that)    Everybody's green 'Cause I'm the one who won your love But if they'd seen You talking that way They'd laugh in my face    So please listen to me if you want to stay mine I can’t help my feelings, I go out of my mind I'm going to let you down (Let you down) And leave you flat (Going to let you down and leave you flat) Because I told you before Oh, you can’t do that!	0.9911	0.042	0.809	0.149	p
Please Please Me	1963	Ask Me Why	Lennon	1	0	0	0	1	0	Lennon	  I love you, 'cause you tell me things I want to know And it's true that it really only goes to show That I know that I—I, I, I Should never, never, never be blue    Now you're mine, my happiness still makes me cry And in time, you'll understand the reason why If I cry it's not because I'm sad But you're the only love that I've ever had    I can't believe it's happened to me I can't conceive of any more—misery    Ask me why, I'll say I love you And I'm always thinking of you    I love you, 'cause you tell me things I want to know And it's true that it really only goes to show That I know that I—I, I, I Should never, never, never be blue    Ask me why, I'll say I love you And I'm always thinking of you    I can't believe it's happened to me I can't conceive of any more—misery    Ask me why, I'll say I love you And I'm always thinking of you You You	0.9916	0.02	0.769	0.211	p
The Beatles	1968	Martha My Dear	McCartney	0	1	0	0	1	0	McCartney	     Martha, my dear Though I spend my days in conversation Please, remember me Martha, my love Don't forget me Martha, my dear    Hold your head up, you silly girl Look what you've done When you find yourself in the thick of it Help yourself to a bit of what is all around you Silly girl    Take a good look around you Take a good look, you're bound to see That you and me were meant to be for each other Silly girl       Hold your hand out you silly girl See what you've done When you find yourself in the thick of it Help yourself to a bit of what is all around you Silly girl    Martha, my dear You have always been my inspiration Please, be good to me Martha, my love Don't forget me Martha, my dear	0.9923	0.0	0.687	0.313	p
Songs not released on LP	1965	I'm Down	McCartney	0	1	0	0	1	0	McCartney	"  You tell lies thinking I can't see You can't cry 'cause you're laughing at me    I'm down (I'm really down) I'm down (Down on the ground) I'm down (I'm really down) How can you laugh when you know I'm down (How can you laugh) When you know I'm down    Man buys ring, woman throws it away Same old thing happen everyday    I'm down (I'm really down) I'm down (Down on the ground) I'm down (I'm really down) How can you laugh when you know I'm down? (How can you laugh) When you know I'm down?       We're all alone and there nobody else You still moan, ""Keep your hands to yourself!""    I'm down (I'm really down) Oh baby, I'm down (Down on the ground) I'm down (I'm really down) How can you laugh when you know I'm down? (How can you laugh) When you know I'm down? Wow! Baby, I'm down    Oh baby, you know I'm down (I'm really down) Oh yes, I'm down (I'm really down) I'm down on the ground (I'm really down) Ah, down (I'm really down) Oh baby I'm upside down, a yeah yeah yeah yeah yeah  I'm down (I'm really down) Oh baby, I'm down (I'm really down) I'm feeling upside down (I'm really down) Ooh, I'm down (I'm really down) Baby, I'm down yeah Oh baby, I'm down, yeah Baby, I'm down (I'm really down) Well baby, I'm down (I'm really down) Well, baby baby baby (I'm really down) Oh baby, I'm down I'm down, down, down, down, down, down"	0.9936	0.022	0.784	0.195	p
The Beatles	1968	Ob-la-di, Ob-la-da	McCartney	0	1	0	0	1	0	McCartney	"  Desmond has a barrow in the market place Molly is the singer in a band Desmond says to Molly, ""Girl, I like your face"" And Molly says this as she takes him by the hand    Ob-la-di, ob-la-da, life goes on, brah La-la how their life goes on Ob-la-di, ob-la-da, life goes on, brah La-la how their life goes on    Desmond takes a trolley to the jeweler's store (chu chu chu) Buys a twenty carat golden ring (Ring) Takes it back to Molly waiting at the door And as he gives it to her, she begins to sing (Sing)    Ob-la-di, ob-la-da, life goes on, brah La-la how their life goes on Ob-la-di, ob-la-da, life goes on, brah La-la how their life goes on Yeah    In a couple of years they have built a home sweet home With a couple of kids running in the yard Of Desmond and Molly Jones (Ha, ha, ha, ha, ha)    Happy ever after in the market place Desmond lets the children lend a hand (Arm, leg) Molly stays at home and does her pretty face And in the evening she still sings it with the band (Yes!)    Ob-la-di, ob-la-da, life goes on, brah La-la how their life goes on (heh-heh) (Yeah) Ob-la-di, ob-la-da, life goes on, brah La-la how their life goes on    In a couple of years they have built a home sweet home With a couple of kids running in the yard Of Desmond and Molly Jones (Ha, ha, ha, ha, ha) (Yeah)    Happy ever after in the market place Molly lets the children lend a hand (Foot) Desmond stays at home and does his pretty face And in the evening she's a singer with the band (Yeah)    Ob-la-di, ob-la-da, life goes on, brah La-la how their life goes on (Yeah) Ob-la-di, ob-la-da, life goes on, brah La-la how their life goes on    And if you want some fun Take Ob-la-di-bla-da (Ahhh) Thank you"	0.9936	0.0	0.85	0.15	p
Help!	1965	It's Only Love	Lennon	1	0	0	0	1	0	Lennon	  I get high when I see you go by My oh my When you sigh, my, my inside just flies Butterflies Why am I so shy when I'm beside you?    It's only love and that is all Why should I feel the way I do? It's only love, and that is all But it's so hard loving you    Is it right that you and I should fight Every night? Just the sight of you makes nighttime bright Very bright Haven't I the right to make it up girl?    It's only love and that is all Why should I feel the way I do? It's only love, and that is all But it's so hard loving you    Yes it's so hard loving you, loving you	0.9937	0.069	0.622	0.309	p
A Hard Day's Night	1964	I'm Happy Just to Dance With You	Lennon	1	0	0	0	1	0	Harrison	  Before this dance is through I think I'll love you too I'm so happy when you dance with me    I don't want to kiss or hold your hand If it's funny try and understand There is really nothing else I'd rather do 'Cause I'm happy just to dance with you    I don't need to hug or hold you tight I just want to dance with you all night In this world there's nothing I would rather do 'Cause I'm happy just to dance with you    Just to dance with you Is everything I need Before this dance is through I think I'll love you too I'm so happy when you dance with me    If somebody tries to take my place Let's pretend we just can't see his face In this world there's nothing I would rather do 'Cause I'm happy just to dance with you    Just to dance with you Is everything I need Before this dance is through I think I'll love you too I'm so happy when you dance with me    If somebody tries to take my place Let's pretend we just can't see his face In this world there's nothing I would rather do I've discovered I'm in love with you 'Cause I'm happy just to dance with you	0.994	0.035	0.756	0.209	p
Revolver	1966	Doctor Robert	Lennon	1	0	0	0	1	0	Lennon	  Ring, my friend I said you'd call Doctor Robert Day or night he'll be there any time at all Doctor Robert    Doctor Robert You're a new and better man He helps you to understand He does everything he can Doctor Robert    If you're down he'll pick you up Doctor Robert Take a drink from his special cup Doctor Robert    Doctor Robert He's a man you must believe Helping anyone in need No one can succeed like Doctor Robert    Well, well, well, you're feeling fine Well, well, well, he'll make you Doctor Robert    My friend works for the National Health Doctor Robert You'll pay money just to see yourself With Doctor Robert    Doctor Robert You're a new and better man He helps you to understand He does everything he can Doctor Robert    Well, well, well, you're feeling fine Well, well, well, he'll make you Doctor Robert    Ring, my friend I said you'd call Doctor Robert Ring, my friend I said you'd call Doctor Robert Doctor Robert	0.9944	0.018	0.659	0.323	p
Revolver	1966	Here, There and Everywhere	McCartney	0	1	0	0	1	0	McCartney	  To lead a better life I need my love to be here    Here, making each day of the year Changing my life with the wave of her hand Nobody can deny that there's something there    There, running my hands through her hair Both of us thinking how good it can be Someone is speaking but she doesn't know he's there    I want her everywhere and if she's beside me I know I need never care But to love her is to need her everywhere    Knowing that love is to share Each one believing that love never dies Watching her eyes and hoping I'm always there    I want her everywhere and if she's beside me I know I need never care But to love her is to need her everywhere    Knowing that love is to share Each one believing that love never dies Watching her eyes and hoping I'm always there    I will be there and everywhere Here, there and everywhere	0.9948	0.041	0.675	0.284	p
