Composer	Song	Lyrics	compound	neg	neu	pos
L	My Mummy's Dead	My mummy's dead   I can't get it through my head   Though it's been so many years   My mummy's dead   I can't explain   So much pain   I could never show it   My mummy's dead	-0.9551	0.362	0.638	0.0
L	Power To The People	Power to the people   Power to the people   Power to the people   Power to the people   Power to the people   Power to the people   Power to the people   Power to the people, right on   Say we want a revolution   We better get on right away   Well, you get on your feet   And out on the street   Singing power to the people   Power to the people   Power to the people   Power to the people, right on   A million workers working for nothing   You better give 'em what they really own   We got to put you down   When we come into town   Singing power to the people   Power to the people   Power to the people   Power to the people, right on   I gotta ask you comrade and brother   How do you treat you own woman back home?   She got to be herself   So she can free herself   Singing power to the people   Power to the people   Power to the people   Power to the people, right on   Now, now, now, now   Oh well, power to the people   Power to the people   Power to the people   Power to the people, right on   Yeah, power to the people   Power to the people   Power to the people   Power to the people, right on   Power to the people   Power to the people   Oh well, power to the people   Power to the people, right on	0.9268	0.01	0.911	0.079
L	Do The Oz	Do the oz   Do the oz   Do the oz, babe   Do the oz   Do the oz   Do the oz, babe   Do the oz   Do the oz, babe   Put your left hand in   Your right hand out   Do the oz, babe   Dance all about   Do the oz   Do the oz, babe   Do the oz   Do the oz, babe   Do the oz   Do the oz, babe   Pull your right leg up   Your left leg down   Do the oz, babe   Get it all around   Do the oz   Do the oz   Do it, do it, do the oz   Ah, do the oz   Do the oz   Do the oz   Do it, do it, do it   Do it, do it   Do the oz   Pull your left wing in   And put your right wing out   Do the oz, baby   Spread it all about, ow!   Do the oz   Uh, uh   D'do - d'do - d'do - d'do - d'do - d'do - d'do - d'do - d'do - d'do   D'do - d'do - d'do - d'do - d'do - d'do - d'do - d'do - d'do - d'do   D'do - d'do - d'do - d'do - d'do - d'do   Now, now, now, now, now, now, now   Do it, do it, do it, do it, do it   Do it, do it, do it   Well, do the oz   Yeah, do the oz   Yeah, do the oz, oz, baby   Well, do the oz, oz, baby   Well, do the oz, oz, baby   Well, do the oz, now, baby   Do it!	0.95	0.0	0.924	0.076
L	Imagine	Imagine there's no heaven   It's easy if you try   No hell below us   Above us only sky   Imagine all the people   Living for today   Imagine there's no countries   It isn't hard to do   Nothing to kill or die for   And no religion too   Imagine all the people   Living life in peace   You may say I'm a dreamer   But I'm not the only one   I hope someday you'll join us   And the world will be as one   Imagine no possessions   I wonder if you can   No need for greed or hunger   A brotherhood of man   Imagine all the people   Sharing all the world   You may say I'm a dreamer   But I'm not the only one   I hope someday you'll join us   And the world will live as one	0.8359	0.123	0.702	0.174
L	Crippled Inside	You can shine your shoes and wear a suit   You can comb your hair and look quite cute   You can hide your face behind a smile   One thing you can't hide   Is when you're crippled inside   You can wear a mask and paint your face   You can call yourself the human race   You can wear a collar and a tie   One thing you can't hide   Is when you're crippled inside   Well now, you know that your cat has nine lives, babe   Nine lives to itself   But you only got one   And a dog's life ain't fun   Mama, take a look outside   You can go to church and sing a hymn   You can judge me by the colour of my skin   You can live a lie until you die   One thing you can't hide   Is when you're crippled inside   Well now, you know that your cat has nine lives, babe   Nine lives to itself   But you only got one   And a dog's life ain't fun   Mama, take a look outside   You can go to church and sing a hymn   Judge me by the colour of my skin   You can live a lie until you die   One thing you can't hide   Is when you're crippled inside   One thing you can't hide   Is when you're crippled inside   One thing you can't hide   Is when you're crippled inside	-0.8567	0.078	0.85	0.072
L	Jealous Guy	I was dreaming of the past   And my heart was beating fast   I began to lose control   I began to lose control   I didn't mean to hurt you   I'm sorry that I made you cry   Oh no, I didn't want to hurt you   I'm just a jealous guy   I was feeling insecure   You might not love me anymore   I was shivering inside   I was shivering inside   Oh, I didn't mean to hurt you   I'm sorry that I made you cry   Oh no, I didn't want to hurt you   I'm just a jealous guy   I didn't mean to hurt you   I'm sorry that I made you cry   Oh no, I didn't want to hurt you   I'm just a jealous guy   I was trying to catch your eye   Thought that you was trying to hide   I was swallowing my pain   I was swallowing my pain   I didn't mean to hurt you   I'm sorry that I made you cry   Oh no, I didn't want to hurt you   I'm just a jealous guy, watch out   I'm just a jealous guy, look out, babe   I'm just a jealous guy	-0.9857	0.268	0.631	0.1
L	It's So Hard	You gotta live   You gotta love   You gotta be somebody   You gotta shove   But it's so hard, it's really hard   Sometimes I feel like going down   You gotta eat   You gotta drink   You gotta feel something   You gotta worry   But it's so hard, it's really hard   Sometimes I feel like going down   But when it's good   It's really good   And when I hold you in my arms baby   Sometimes I feel like going down   You gotta run   You gotta hide   You gotta keep your woman satisfied   But it's so hard, it's really hard   Sometimes I feel like going down	0.9104	0.146	0.642	0.212
L	Gimme Some Truth	I'm sick and tired of hearing things   From uptight, short-sighted, narrow-minded hypocritics   All I want is the truth   Just gimme some truth   I've had enough of reading things   By neurotic, psychotic, pig-headed politicians   All I want is the truth   Just gimme some truth   No short-haired, yellow-bellied, son of Tricky Dick   Is gonna Mother Hubbard soft soap me   For just a pocketful of hope   Money for dope   Money for rope   Woo hoo   No short-haired, yellow-bellied, son of Tricky Dick   Is gonna Mother Hubbard soft soap me   With just a pocketful of soap   Money for dope   Money for rope   I'm sick to death of seeing things   From tight-lipped, condescending, mama's little chauvinists   All I want is the truth,   Just gimme some truth, now   I've had enough of watching scenes   With schizophrenic, ego-centric, paranoiac prima-donnas   All I want is the truth now, now   Just gimme some truth   No short-haired, yellow-bellied, son of Tricky Dick   Is gonna Mother Hubbard soft soap me   With just a pocketful of soap   It's money for dope   Money for rope   Ah, I'm sick to death of peering things   From uptight, short-sighted, narrow-minded hypocrites   All I want is the truth, now   Just gimme some truth, now   I've had enough of reading things   By neurotic, psychotic, pig-headed politicians   All I want is the truth, now   Just gimme some truth, now   All I want is the truth, now   Just gimme some truth, now   All I want is the truth   Just gimme some truth   All I want is the truth   Just gimme some truth	-0.8591	0.184	0.63	0.186
L	Oh My Love	Oh my love for the first time in my life   My eyes are wide open   Oh my lover for the first time in my life   My eyes can see   I see the wind   Oh I see the trees   Everything is clear in my heart   I see the clouds   Oh I see the sky   Everything is clear in our world   Oh my love for the first time in my life   My mind is wide open   Oh my love for the first time in my life   My mind can feel   I feel sorrow   Oh I feel dreams   Everything is clear in my heart   I feel life   Oh I feel love   Everything is clear in our world	0.9839	0.024	0.735	0.241
L	How Do You Sleep?	So   Sgt. Pepper   took you by surprise   You better see right through that mother's eyes   Those freaks was right when they said you was dead   The one mistake you made was in your head   Tell me, how do you sleep?   Tell me, how do you sleep at night?   You live with straights who tell you you was king   Jump when your mama tell you anything   The only thing you done was   Yesterday   And since you've gone, you're just   Another Day   Tell me, how do you sleep at night?   Tell me, how do you sleep at night?   Ah, how do you sleep at night?   A pretty face may last a year or two   But pretty soon, they'll see what you can do   The sound you make is Muzak to my ears   You must have learned something in all those years   Ah, how do you sleep, brother?   Ah, tell me, how do you sleep at night?	0.7438	0.034	0.9	0.066
L	How?	How can I go forward when I don't know which way I'm facing?   How can I go forward when I don't know which way to turn?   How can I go forward into something I'm not sure of?   Oh no, oh no   How can I have feeling when I don't know if it's a feeling?   How can I feel something if I just don't know how to feel?   How can I have feelings when my feelings have always been denied?   Oh no, oh no   You know life can be long   And you got to be so strong   And the world is so tough   Sometimes I feel I've had enough   How can I give love when I don't know what it is I'm giving?   How can I give love when I just don't know how to give?   How can I give love when love is something I ain't never had?   Oh no, oh no   You know life can be long   You've got to be so strong   And the world she is tough   Sometimes I feel I've had enough   How can we go forward when we don't know which way we're facing?   How can we go forward when we don't know which way to turn?   How can we go forward into something we're not sure of?   Oh no, oh no	0.9554	0.077	0.797	0.127
L	Oh Yoko!	In the middle of the night   In the middle of the night I call your name   Oh Yoko, oh Yoko, my love will turn you on   In the middle of the bath   In the middle of the bath I call your name   Oh Yoko, oh Yoko, my love will turn you on   My love will turn you on   In the middle of a shave   In the middle of a shave I call your name   Oh Yoko, oh Yoko, my love will turn you on   In the middle of a dream   In the middle of a dream I call your name   Oh Yoko, oh Yoko, my love will turn you on   My love will turn you on   In the middle of a cloud   In the middle of a cloud I call your name   Oh Yoko, oh Yoko, my love will turn you on   Oh Yoko, oh Yoko, oh Yoko, oh Yoko	0.9876	0.0	0.808	0.192
L	New York City	"Standing on the corner, just me and Yoko Ono   We was waiting for Jerry to land   Up come a man with a guitar in his hand   Singing, ""Have a marijuana if you can""   His name was David Peel and we found that he was real   He sang, ""The Pope smokes dope every day""   Up come a policeman shoved us up the street   Singing, ""Power to the people today""   New York City   New York City   New York City   Que pasa, New York?   Que pasa, New York?   Well, down to Max's Kansas City, got down the nitty gritty   With the Elephants Memory Band   Laid something down as the news spread around   About the Plastic Ono Elephants Memory Band   And we played some funky boogie and laid some tutti-frutti   Singing, ""Long Tall Sally's a man""   Up come a preacher-man trying to be a teacher   Singing, ""God's a red herring in drag""   New York City   New York City   New York City   Que pasa, New York?   Que pasa, New York?   New York City   New York City   New York City   Que pasa, New York?   Que pasa, New York?   Well, we did the Staten Island Ferry, making movies for the telly   Played the Fillmore and Apollo for freedom   Tried to shake our image, just a cycling through the Village   But found that we had left it back in London   Well, nobody came to bug us, hustle us or shove us   We decided to make it our home   If the Man wants to shove us out, we gonna jump and shout   The Statue of Liberty said, ""Come""   New York City   New York City   New York City   Que pasa, New York?   Que pasa, New York?   New York City   Back in New York City   New York City   Que pasa, New York?   Que pasa, New York?"	0.9233	0.013	0.927	0.06
L	Woman Is The N* Of The World	Woman is the n***** of the world   Yes, she is, think about it   Woman is the n***** of the world   Think about it, do something about it   We make her paint her face and dance   If she won't be a slave, we say that she don't love us   If she's real, we say she's trying to be a man   While putting her down we pretend that she's above us   Woman is the n***** of the world, yes, she is   If you don't believe me, take a look at the one you're with   Woman is the slave of the slaves   Oh yeah, you better scream about it, yeah   We make her bear and raise our children   And then we leave her flat for being a fat old mother hen   We tell her home is the only place she should be   Then we complain that she's too unworldly to be our friend   Woman is the n***** of the world, yes, she is   If you don't believe me, take a look at the one you're with   Woman is the slave to the slave   Yeah, alright, hit it   We insult her every day on TV   And wonder why she has no guts or confidence   When she's young, we kill her will to be free   While telling her not to be so smart we put her down for being so dumb   Woman is the n***** of the world, yes, she is   If you don't believe me, take a look at the one you're with   Woman is the slave to the slaves, yes, she is   If you believe me, you better scream about it   We make her paint her face and dance   We make her paint her face and dance   Woman is the n***** of the world   Yes, she is, think about it   Woman is the n***** of the world   Think about it, do something about it   We make her paint her face and dance   If she won't be a slave, we say that she don't love us   If she's real, we say she's trying to be a man   While putting her down we pretend that she's above us   Woman is the n***** of the world, yes, she is   If you don't believe me, take a look at the one you're with   Woman is the slave of the slaves   Oh yeah, you better scream about it, yeah   We make her bear and raise our children   And then we leave her flat for being a fat old mother hen   We tell her home is the only place she should be   Then we complain that she's too unworldly to be our friend   Woman is the n***** of the world, yes, she is   If you don't believe me, take a look at the one you're with   Woman is the slave to the slave   Yeah, alright, hit it   We insult her every day on TV   And wonder why she has no guts or confidence   When she's young, we kill her will to be free   While telling her not to be so smart we put her down for being so dumb   Woman is the n***** of the world, yes, she is   If you don't believe me, take a look at the one you're with   Woman is the slave to the slaves, yes, she is   If you believe me, you better scream about it   We make her paint her face and dance   We make her paint her face and dance   We make her paint her face and dance   We make her paint her face and dance   We make her paint her face and dance   We make her paint her face and dance	0.8948	0.09	0.8	0.11
L	Instant Karma! We All Shine On	Instant Karma's gonna get you   Gonna knock you 'round the head   You better get yourself together   Pretty soon you're gonna be dead   What in the world you thinking of?   Laughing in the face of love   What on Earth you tryin' to do?   It's up to you   Yeah, you   Instant Karma's gonna get you   Gonna look you right in the face   Better get yourself together, darling   Join the human race   How in the world you gonna see?   Laughin' at fools like me   Who on Earth d'you think you are   A superstar?   Well, right you are   Well, we all shine on   Like the moon and the stars and the sun   Well, we all shine on   Everyone, c'mon   Instant Karma's gonna get you   Gonna knock you off your feet   Better recognize your brothers   Everyone you meet   Why in the world are we here?   Surely not to live in pain and fear   Why on Earth are you there   When you're everywhere   Come and get your share   Well, we all shine on   Like the moons and the stars and the sun   Yeah, we all shine on   C'mon and on and on, on, on   Yeah, yeah   Alright   Uh-huh   Ah   Well, we all shine on   Like the moon and the stars and the sun   Yeah, we all shine on   On and on and on, on and on   Well, we all shine on   Like the moon and the stars and the sun   Yeah, we all shine on   Like the moons and the stars and the sun   Yeah, we all shine on   Like the moons and the stars and the sun   Yeah, we all shine on   Like the moon and the stars and the sun	0.9955	0.042	0.71	0.248
L	Cold Turkey	Temperature's rising   Fever is high   Can't see no future   Can't see no sky   My feet are so heavy   So is my head   I wish I was a baby   I wish I was dead   Cold turkey has got me on the run   My body is aching   Goose-pimple bone   Can't see nobody   Leave me alone   My eyes are wide open   Can't get to sleep   One thing I'm sure of   I'm in at the deep freeze   Cold turkey has got me on the run   Cold turkey has got me on the run   Thirty-six hours   Rolling in pain   Praying to someone   Free me again   Oh, I'll be a good boy   Please make me well   I promise you anything   Get me out of this hell   Cold turkey has got me on the run   Oh, oh, oh, oh	0.6025	0.113	0.706	0.181
L	Hound Dog	We like to do the last number and go and recover.   One, two, three, four!   You ain't nothin' but a hound dog,   Cryin' all the time;   You ain't nothin' but a hound dog,   Cryin' all the time.   You ain't never caught a rabbit   And you ain't no friend of mine.   When they said that you was highclassed,   That was just a lie;   When they said that you was highclassed,   That was just a lie.   You ain't never caught no rabbit,   You ain't no friend of mine.   You ain't nothin' but a hound dog,   Cryin' all the time;   You ain't nothin' but a hound dog,   Cryin' all the time.   You ain't never caught no rabbit   You ain't no friend of mine.   You ain't nothin' but a hound dog,   Cryin' all the time;   You ain't nothin' but a hound dog,   Cryin' all the time.   You ain't never caught a rabbit   You ain't no friend of mine.   Well, they said that you was highclassed,   Well, that was just a lie;   Well, they said that you was highclassed, babe,   You know it's a lie.   You ain't never caught no rabbit,   You ain't no friend of mine.   You ain't nothin' but a hound dog,   Cryin' all the time;   You ain't nothin' but a hound dog,   Cryin' all the time.   Elvis, I love you!   You ain't never caught no rabbit   You ain't no friend of mine	0.9779	0.031	0.836	0.133
L	Give Peace A Chance	Two, a-one two three four   Everybody's talking about   Bagism, Shagism, Dragism, Madism, Ragism, Tagism   This-ism, that-ism, is-m, is-m, is-m   All we are saying is give peace a chance That's all we're saying   All we are saying is give peace a chance Yeah, come on   Everybody's talking about ministers   Sinisters, banisters and canisters   Bishops and fishops and Rabbis and Popeyes   And bye bye, bye bye   All we are saying is give peace a chance What are we saying? Give peace a chance   All we are saying is give peace a chance Gimme a chance, baby, this is right   Let me tell you now   Everybody's talking about   Revolution, evolution, masturbation   Flagellation, regulation, integration   Meditation, United Nations   Congratulations   All we are saying Keep talking is give peace a chance You can't stop this one   All we are saying Let's hear it for the West coast is give peace a chance Oh let's stick to this, yeah   Everybody's talking about   John and Yoko, Timmy Leary, Rosemary   Tommy Smothers, Bobby Dylan, Tommy Cooper   Derek Taylor, Norman Mailer   Alan Ginsberg, Hare Krishna   Hare-Hare Krishna   All we are saying is give peace a chance Come on, come on, come on   All we are saying is give peace a chance Let's hear it for the squares   All we are saying is give peace a chance Let's hear it for the hippies and the yippies, yeah   All we are saying Come on is give peace a chance Let's hear it for the people now, yeah   All we are saying is give peace a chance Let's hear it for Hare Krishna, yeah   All we are saying Hare Krishna is give peace a chance Everybody now, come on   All we are saying is give peace a chance How do we say it? Let me hear you   All we are saying is give peace a chance Everybody now, come on   All we are saying You won't get it unless you want it, and we want it now is give peace a chance Yeah   All we are saying Come together is give peace a chance Come together all together   All we are saying is give peace a chance Can anybody hear me? Yeah   All we are saying We can get it tomorrow, today is give peace a chance But we really want it now, OK? Now   All we are saying is give peace a chance Yes, yes   All we are saying is give peace a chance OK, beautiful, yeah, peace, hey, peace, hey, we made it, peace!	0.9987	0.004	0.712	0.284
L	Sisters, O Sisters	We lost our green land  We lost our clean air  We lost our true wisdom   And we live in despair   Sisters, O sisters   Lets stand up right now   It's never too late   To start from the start   Wisdom, O wisdom   That's what we ask for   And yes, my dear sisters   We must learn to ask   Wisdom, O wisdom   That's what we ask for   That's what we live for now   Wisdom, O wisdom   That's what we ask for   That's what we live for now   Sisters, O sisters   Let's wake up right on   It's never too late   To shout from our hearts   Freedom, O freedom   That's what we fight for   And yes, my dear sisters   We must learn to fight   Freedom, O freedom   That's what we ask for   That's what we live for now   Freedom, O freedom   That's what we ask for   That's what we live for now   Sisters, O sisters   Let's give up no more   It's never too late   To build a new world   New world, O New world   That's what we live for   And yes, my dear sisters   We must learn to live   New world, O New world   That's what we live for   That's what we must now learn to build   New world, O New world   That's what we live for   That's what we must now learn to build   New world, O New world   That's what we live for   That's what we must now learn to build   New world, O New world   That's what we live for   That's what we must learn to build	0.9953	0.053	0.722	0.225
L	Attica State	"What a waste of human power   What a waste of human lives   Shoot the prisoners in the towers   Forty-three poor widowed wives   Attica State, Attica State   We're all mates with Attica State   Media blames it on the prisoners   But the prisoners did not kill   ""Rockefeller pulled the trigger""   That is what the people feel   Attica State, Attica State   We're all mates with Attica State   Free the prisoners, jail the judges   Free all prisoners everywhere   All they want is truth and justice   All they need is love and care   Attica State, Attica State   We're all mates with Attica State   They all live in suffocation   Let's not watch them die in sorrow   Now's the time for revolution   Give them all a chance to grow   Attica State, Attica State   We're all mates with Attica State   Come together join the movement   Take a stand for human rights   Fear and hatred clouds our judgement   Free us all from endless night   Attica State, Attica State   We're all mates with Attica State   Attica State, Attica State   We all live in Attica State   Attica State, Attica State   Attica, Attica, Attica State"	0.8061	0.177	0.633	0.19
L	Born In A Prison	We're born in a prison   Raised in a prison   Sent to a prison called school   We cry in a prison   We love in a prison   We dream in a prison like fools   Wood becomes a flute when it's loved   Reach for yourself and your battered mates   Mirror becomes a razor when it's broken   Look in the mirror and see your shattered fate   We live with no reason   Kicked around for no reason   Thrown out without reason like tools   We work in a prison   And hate in a prison   And die in a prison as a rule   Wood becomes a flute when it's loved   Reach for yourself and your battered mates   Mirror becomes a razor when it's broken   Look in the mirror and see your shattered fate   We live in a prison   Among judges and wardens   And wait for no reason for you   We laugh in a prison   Go through all four seasons   And die with no vision of truth   Wood becomes a flute when it's loved   Reach for yourself and your battered mates   Mirror becomes a razor when it's broken   Look in the mirror and see your shattered fate	-0.9947	0.315	0.573	0.112
L	Sunday Bloody Sunday	Well, it was Sunday, bloody Sunday   When they shot the people there   The cries of thirteen martyrs   Filled the Free Derry air   Is there any one amongst you   Dare to blame it on the kids?   Not a soldier boy was bleeding   When they nailed the coffin lids   Sunday, bloody Sunday   Bloody Sunday's the day   You claim to be majority   Well, you know that it's a lie   You're really a minority   On this sweet emerald isle   When Stormont bans our marches   They've got a lot to learn   Internment is no answer   It's those mothers' turn to burn   Sunday, bloody Sunday   Bloody Sunday's the day   Sunday, bloody Sunday   Bloody Sunday's the day   You anglo pigs and scotties   Sent to colonize the North   You wave your bloody Union Jack   And you know what it's worth   How dare you hold to ransom   A people proud and free   Keep Ireland for the Irish   Put the English back to sea   Sunday, bloody Sunday   Bloody Sunday's the day   Well, it's always bloody Sunday   In the concentration camps   Keep Falls Road free forever   From the bloody English hands   Repatriate to Britain   All of you who call it home   Leave Ireland to the Irish   Not for London or for Rome   Sunday, bloody Sunday   Bloody Sunday's the day   Sunday, bloody Sunday   Bloody Sunday's the day   Sunday, bloody Sunday   Bloody Sunday's the day   Sunday, bloody Sunday   Bloody Sunday's the day	-0.9897	0.232	0.682	0.086
L	Luck Of The Irish	If you had the luck of the Irish   You'd be sorry and wish you were dead   You should have the luck of the Irish   And you'd wish you was English instead   A thousand years of torture and hunger   Drove the people away from their land   A land full of beauty and wonder   Was raped by the British brigands   God damn! God damn   If you could keep voices like flowers   There'd be shamrock all over the world   If you could drink dreams like Irish streams   Then the world would be high as the mountain of mourne   In the 'Pool they told us the story   How the English divided the land   Of the pain, the death and the glory   And the poets of auld Eireland   If we could make chains with the morning dew   The world would be like Galway Bay   Let's walk over rainbows like leprechauns   The world would be one big Blarney stone   Why the hell are the English there anyway?   As they kill with God on their side   Blame it all on the kids the IRA   As the bastards commit genocide   Aye, aye... genocide   If you had the luck of the Irish   You'd be sorry and wish you was dead   You should have the luck of the Irish   And you'd wish you was English instead   Yes you'd wish you was English instead	0.2481	0.17	0.636	0.194
L	John Sinclair	It ain't fair, John Sinclair   In the stir for breathing air   Won't you care for John Sinclair?   In the stir for breathing air   Let him be, set him free   Let him be like you and me   They gave him ten for two   And what else can the judges do?   We gotta, gotta, gotta, gotta   Gotta, gotta, gotta, gotta   Gotta, gotta, gotta, gotta   Gotta, gotta, gotta set him free   If he'd been a soldier man   Shooting gooks in Vietnam   If he was the CIA   Selling dope and making hay   He'd be free, they'd let him be   Breathing air like you and me, right on   They gave him ten for two   What else can the judges do?   We gotta, gotta, gotta, gotta   Gotta, gotta, gotta, gotta   Gotta, gotta, gotta, gotta   Gotta, gotta, gotta set him free   They gave him ten for two   They got old Lee Otis too   Gotta, gotta, gotta, gotta   Gotta, gotta, gotta, gotta   Gotta, gotta, gotta, gotta   Gotta, gotta set him free   Was he jailed for what he done?   Or representing everyone   Free John now, if we can   From the clutches of the man   Let him be, lift the lid   Bring him to his wife and kids, alright   They gave him ten for two   What else can the bastards do?   We gotta, gotta, gotta, gotta   Gotta, gotta, gotta, gotta   Gotta, gotta, gotta, gotta   Gotta, gotta, gotta set him free	0.96	0.046	0.834	0.12
L	Angela	Angela, they put you in prison   Angela, they shot down your man   Angela, you're one of the millions   Of political prisoners in the world   Sister, there's a wind that never dies   Sister, we're breathing together   Sister, our love and hopes forever   Keep on moving, oh, so slowly in the world   They gave you sunshine, they gave you sea   They gave you everything but the jailhouse key   They gave you coffee, they gave you tea   They gave you everything but equality   Angela, can you hear, the earth is turning?   Angela, the world watches you   Angela, you soon will be returning   To your sisters and brothers in the world   Sister, you're still a people teacher   Sister, your word reaches far   Sister, there's a million different races   But we all share the same future in the world   They gave you sunshine, they gave you sea   They gave you everything but the jailhouse key   They gave you coffee, they gave you tea   They gave you everything but equality   Angela, they put you in prison   Angela, they shot down your man   Angela, you're one of the millions   Of political prisoners in the world	-0.0516	0.064	0.863	0.073
